0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1922.1049409606303,1810.5945161869272,1874.5827203261083,1879.8303924283114,1889.1656099416737,1962.584484092932,1802.9454415909483,1834.0585016677987,2098.4826849436745,1726.790524858699,1829.9405924653745,1739.5471977346167,1834.5891485391808,1823.694348395301,1903.426371814407,1778.7498031127827,1874.7211802019035,1963.7326409915383
2708.755950068403,2729.211974601647,2771.8412998392077,2792.844136282874,2783.152727341012,2774.604452682115,2795.6462836536334,2806.3782204837025,2817.56405191647,2818.4582855088142,2809.95841802023,2803.695186466964,2799.112322689187,2808.2637285988308,2827.3348105494197,2836.7308484609375,2832.3952032401367,2828.570961747123
2576.1862026613294,2626.1862026613294,2596.18620266133,2636.186202661329,2566.186202661329,2386.186202661329,2126.186202661329,2116.186202661329,2206.186202661329,2376.186202661329,2546.186202661329,2646.186202661329,2692.3724053226583,2742.3724053226583,2712.372405322659,2752.372405322658,2682.372405322658,2502.372405322658
5678.13894321221,5342.0100277137435,5326.793341901618,5583.483032350631,5717.573756273081,5665.020357549985,5437.611888910616,5598.043262100534,5367.20770190369,5521.244474100596,5562.986094701727,5790.675868378435,5769.595758739179,5540.139616900681,5529.751788007949,5704.9797988617165,5796.516105287134,5760.6408138720535
13595.779563560242,13558.227281585225,13652.107986522766,13414.27686734766,13526.93371327271,13866.990488935362,13685.48779272278,13937.922577110394,13599.952039335243,13787.713449210327,13577.003422572732,13762.678594560315,13709.64216393255,13701.807864590712,13721.39361294531,13671.776383780325,13695.279281805844,13766.223214734728
1181.8987103161276,1181.8987103161276,1181.8987103161276,1181.8987103161276,1181.8987103161276,1181.8987103161276,1181.8987103161276,1181.8987103161276,1181.8987103161276,1181.8987103161276,1181.8987103161276,1181.8987103161276,1181.8987103161276,1181.8987103161276,1181.8987103161276,1181.8987103161276,1181.8987103161276,1181.8987103161276
6601.94393649492,6668.097055330038,6707.529623438833,6821.030768412926,7063.471488801097,7011.666796318512,6998.128040803491,6940.34355284864,6841.126023824548,6840.850310676721,6744.6582495501425,6815.956120495702,6696.996758575332,6750.114932602098,6781.777613263382,6872.914237741985,7067.583889954939,7025.986911377503
2334.3336367420247,2608.763549022017,3181.855522124878,2638.728450803663,2426.0644724591375,2497.998899235228,2731.94509560902,2886.329783524782,2634.353691706504,2506.1695162494925,2590.298982085331,2733.635710923383,2760.2082809660765,2627.126510191037,2569.030080726193,2635.20332409928,2711.4993245144833,2701.5284410172894
9843.789199173567,9865.974524586574,9897.137308631734,9931.71110764499,9964.88400180534,9992.768487116844,10012.311393474822,10021.508653448696,10019.77035236713,10008.061554788366,9988.677177982441,9964.7732708909,9939.839854589081,9917.22093934898,9899.710477868364,9889.238196350427,9886.674610936214,9891.784895731065
2154.733843800732,1968.7464766650523,1860.5292140319507,1888.7973422718512,1842.5516071417062,1669.3020183347085,1588.6681842718417,1577.4761047651305,1457.7277108135117,1338.5404041360207,1305.5726969078105,1263.9355843604753,1169.5050396737024,1073.4257549633137,1022.1130591901092,990.897017221838,935.912888137993,860.0824497551694
10276.042998921128,10354.375552891534,10432.708106861939,10511.040660832345,10589.37321480275,10667.705768773156,10746.038322743561,10824.370876713967,10902.703430684373,10981.035984654778,11059.368538625184,11137.70109259559,11216.033646565995,11294.3662005364,11372.698754506806,11451.031308477211,11529.363862447617,11607.696416418023
7441.373254062378,7362.2136117254195,7491.926431131036,6891.6626901109175,7455.556091278391,6291.007995468747,6091.963240568973,7389.262595824584,7613.872701996307,8131.14702102556,8991.98938649898,8310.118182302704,8271.491436365082,8192.331794028125,8322.044613433742,7721.780872413623,8285.674273581097,7121.1261777714535
1193.0,1193.0,1193.0,1193.0,1193.0,1193.0,1193.0,1193.0,1193.0,1193.0,1193.0,1193.0,1193.0,1193.0,1193.0,1193.0,1193.0,1193.0
10194.117647,10194.117647,10194.117647,10194.117647,10194.117647,10194.117647,10194.117647,10194.117647,10194.117647,10194.117647,10194.117647,10194.117647,10194.117647,10194.117647,10194.117647,10194.117647,10194.117647,10194.117647
1021.0806306032478,1017.0155805979613,1011.2973955600133,1008.952154651882,1006.4057669414426,1006.3352960920931,1009.117530593943,1005.7587178306293,1005.5401820614217,1006.3834552532146,997.5962762315354,993.4979690808965,990.7548910037451,992.8544538625363,994.1743192163045,993.7195704356978,995.4096859646154,996.6483911407373
